symbol,time,open_time,score,grade,tf,change_24h,entry,mfe12,mae12,ret12,atr_exp,bar_chg_pct,breakout,breakout_pct,btc,candle,ema,ema_aligned,is_late,rsi,rsi_raw,squeeze,taker,taker_buy,vol,vol_ratio,vs_btc_pct
AAVEUSDT,2026-09-10 15:25,1789043100000,62.14,watch,5m,-4.754,123.01,-0.902,-1.106,-1.024,0.7166,0.1302,0.0,-0.4129,0.2229,1.0,0.3,0,0,0.4,43.469,1.0,1.0,0.93528,0.394,2.6774,0.1459
AAVEUSDT,2026-09-10 19:45,1789058700000,58.22,watch,5m,-5.829,121.97,1.041,0.721,1.0,2.3534,0.5938,0.0,-0.4001,0.4143,0.9118,0.3,0,0,0.781,54.057,1.0,0.0,0.27676,1.0,4.4388,0.5286
AAVEUSDT,2026-09-10 22:35,1789068900000,78.14,strong,5m,-3.394,122.96,0.098,0.0,0.057,0.9584,0.1548,0.0,-0.211,0.2314,0.93,1.0,1,0,0.8969,56.145,1.0,1.0,0.80741,0.7897,3.5692,0.1627
AAVEUSDT,2026-09-11 02:20,1789082400000,65.57,late,5m,-2.715,121.46,0.132,-0.354,0.016,0.8955,-0.0411,0.0,-1.3643,0.0267,0.2267,0.3,0,1,0.0,31.129,1.0,1.0,0.84518,1.0,4.5179,-0.2465
AAVEUSDT,2026-09-11 05:10,1789092600000,58.51,watch,5m,-1.875,121.95,-0.221,-0.59,-0.254,0.4545,-0.0246,0.0,-0.4652,0.1353,0.3214,0.3,0,1,0.6621,51.918,1.0,1.0,0.84815,0.4504,3.9389,-0.0295
AAVEUSDT,2026-09-11 07:05,1789099500000,60.15,watch,5m,-2.755,122.15,0.72,0.491,0.712,0.8297,0.0737,0.0,0.041,0.2419,0.8364,1.0,1,1,0.8523,60.659,1.0,0.0,0.1196,1.0,7.3081,0.1839
AAVEUSDT,2026-09-11 08:05,1789103100000,60.32,watch,5m,-1.552,123.02,0.39,0.098,0.35,1.1928,0.1792,0.0,0.0325,0.2978,0.9893,1.0,1,0,0.7,69.252,1.0,1.0,0.82074,0.1053,1.5159,0.2956
AAVEUSDT,2026-09-11 08:50,1789105800000,62.22,watch,5m,-1.437,123.45,-0.089,-0.227,-0.227,1.1224,0.1623,0.0,0.1054,0.2876,1.0,1.0,1,0,0.5672,71.193,1.0,1.0,0.89269,0.2211,1.8633,0.2751
AAVEUSDT,2026-09-11 15:25,1789129500000,66.74,watch,5m,-0.455,122.45,2.205,1.429,1.584,4.3395,0.2784,0.0,-0.0327,0.2181,0.7848,1.0,1,0,0.9754,58.443,1.0,0.2825,0.59346,1.0,6.0526,0.1362
AAVEUSDT,2026-09-11 15:55,1789131300000,69.32,watch,1h,2.795,125.05,3.495,2.383,3.255,4.184,2.349,0.5784,1.1568,0.5722,0.9568,1.0,1,0,0.815,61.33,1.0,0.0,0.4888,1.0,5.1751,0.8445
AAVEUSDT,2026-09-11 16:45,1789134300000,62.25,watch,1h,3.797,127.13,1.219,0.236,0.464,2.5392,1.6715,0.5688,1.1376,1.0,0.9902,1.0,1,0,0.7,68.574,0.9427,0.0,0.50768,0.7111,3.3332,1.9277
