min_score,pullback_pct,timeout_bars,tp_pct,sl_pct,trailing_act,trailing_dist,total_signals,filled_trades,fill_rate_pct,win_rate_pct,net_pnl_pct,profit_factor,expectancy_pct,max_dd_pct,oos_win_rate_pct,oos_net_pnl_pct,score_metric
65.0,1.0,3,0.7,3.5,2.5,0.8,44989,825,1.6,92.8,295.82,2.63,0.348,7.27,93.1,120.52,87.49
75.0,1.0,2,1.0,3.0,2.0,0.6,44989,353,0.7,89.0,231.62,2.92,0.606,7.93,90.6,101.36,87.46
75.0,0.8,2,0.8,3.0,2.5,0.8,44989,493,0.9,93.1,242.78,2.97,0.438,6.94,94.4,113.60,87.34
60.0,0.8,2,0.8,3.5,1.2,0.4,44989,1095,2.1,91.5,517.73,2.72,0.448,11.12,91.4,219.92,87.23
75.0,1.0,2,0.8,3.0,2.0,0.6,44989,353,0.7,92.6,222.63,4.25,0.609,8.53,92.8,91.65,86.76
65.0,1.0,2,0.7,2.5,1.2,0.4,44989,613,1.2,91.5,342.08,3.22,0.509,9.26,92.6,153.58,86.70
70.0,1.0,2,0.7,1.5,1.2,0.4,44989,460,0.9,84.1,222.36,2.93,0.481,6.96,82.5,86.12,86.66
75.0,0.8,2,0.8,3.5,2.5,0.8,44989,493,0.9,94.5,261.31,3.21,0.459,7.48,96.5,125.96,86.63
70.0,1.0,4,0.7,3.0,2.5,0.8,44989,725,1.5,91.7,261.84,2.84,0.368,7.32,91.8,93.88,86.53
55.0,0.8,2,0.7,3.0,1.2,0.4,44989,1571,3.0,91.4,605.34,2.62,0.377,11.36,91.4,245.12,86.18
60.0,1.0,2,1.0,3.5,2.0,0.6,44989,744,1.4,87.9,364.63,2.49,0.500,9.89,87.3,138.72,86.14
70.0,1.0,2,0.7,2.5,2.0,0.6,44989,460,0.9,91.3,220.34,3.00,0.446,6.92,92.1,94.05,86.06
65.0,1.0,3,0.8,3.0,1.2,0.4,44989,825,1.6,89.5,391.29,2.56,0.456,9.65,89.4,161.39,86.02
75.0,0.8,2,0.7,2.5,1.2,0.4,44989,493,0.9,92.9,283.77,3.89,0.525,8.71,93.4,128.84,85.99
65.0,0.8,2,0.7,1.5,1.2,0.4,44989,880,1.7,84.7,304.88,2.45,0.355,7.20,82.9,115.12,85.86
70.0,1.0,2,1.0,3.5,1.5,0.5,44989,460,0.9,88.5,283.45,2.87,0.600,9.34,89.3,113.77,85.86
70.0,1.0,3,0.8,3.0,1.2,0.4,44989,616,1.2,90.3,343.49,3.40,0.564,10.66,89.0,129.79,85.72
